order,category,tag,tier,term,freq,note
1,法令・制度,区分所有法,A,専有部分,135,
2,法令・制度,区分所有法,A,共用部分,153,
3,法令・制度,区分所有法,A,法定共用部分,13,
4,法令・制度,区分所有法,A,規約共用部分,10,
5,法令・制度,区分所有法,A,一部共用部分,15,
6,法令・制度,区分所有法,A,区分所有者,169,
7,法令・制度,区分所有法,A,区分所有権,10,
8,法令・制度,区分所有法,A,区分建物,26,
9,法令・制度,区分所有法,A,敷地,44,
10,法令・制度,区分所有法,A,敷地利用権,30,
11,法令・制度,区分所有法,A,分離処分の禁止,21,
12,法令・制度,区分所有法,A,規約,224,
13,法令・制度,区分所有法,A,集会,90,
14,法令・制度,区分所有法,A,議決権,78,
15,法令・制度,区分所有法,A,普通決議,18,
16,法令・制度,区分所有法,A,特別多数決議,29,
17,法令・制度,区分所有法,A,集会の招集,90,
18,法令・制度,区分所有法,A,招集通知,25,
19,法令・制度,区分所有法,A,議事録,20,
20,法令・制度,区分所有法,A,管理者,131,
21,法令・制度,区分所有法,A,管理組合,193,
22,法令・制度,区分所有法,A,管理組合法人,28,
23,法令・制度,区分所有法,A,総会,80,
24,法令・制度,区分所有法,A,通常総会,14,
25,法令・制度,区分所有法,A,臨時総会,4,
26,法令・制度,区分所有法,A,共同利益違反行為,40,
27,法令・制度,区分所有法,A,行為停止請求,104,
28,法令・制度,区分所有法,A,使用禁止請求,13,
29,法令・制度,区分所有法,A,競売請求,17,
30,法令・制度,区分所有法,A,占有者に対する引渡請求,104,
31,法令・制度,区分所有法,A,復旧,19,
32,法令・制度,区分所有法,A,大規模滅失,10,
33,法令・制度,区分所有法,A,建替え決議,164,
34,法令・制度,区分所有法,A,建替え承認決議,164,
35,法令・制度,区分所有法,A,売渡請求権,2,
36,法令・制度,区分所有法,A,規約の設定・変更・廃止,224,
37,法令・制度,区分所有法,A,義務違反者に対する措置,32,
38,法令・制度,区分所有法,A,団地管理組合,22,
39,法令・制度,区分所有法,A,団地共用部分,15,
40,法令・制度,区分所有法,A,棟総会,17,
41,法令・制度,区分所有法,B,共有持分,4,
42,法令・制度,区分所有法,B,持分割合,13,
43,法令・制度,区分所有法,B,保存行為,26,
44,法令・制度,区分所有法,B,管理行為,140,
45,法令・制度,区分所有法,B,変更行為,75,
46,法令・制度,区分所有法,B,軽微変更,7,
47,法令・制度,区分所有法,B,重大変更,75,
48,法令・制度,区分所有法,B,公正証書による規約設定,224,
49,法令・制度,区分所有法,B,公正証書原始規約,224,
50,法令・制度,区分所有法,B,代理人,28,
51,法令・制度,区分所有法,B,区分所有者全員の書面合意,169,
52,法令・制度,区分所有法,B,電磁的方法による議決権行使,78,
53,法令・制度,区分所有法,B,議決権行使書,13,
54,法令・制度,区分所有法,B,委任状,6,
55,法令・制度,区分所有法,B,議長,13,
56,法令・制度,区分所有法,B,議事録への署名,20,
57,法令・制度,区分所有法,B,規約原本,224,
58,法令・制度,区分所有法,B,規約の閲覧,224,
59,法令・制度,区分所有法,B,区分所有者全員の同意,169,
60,法令・制度,区分所有法,B,招集権者,31,
61,法令・制度,区分所有法,B,招集通知の発出期間,34,
62,法令・制度,区分所有法,B,集会の議題,90,
63,法令・制度,区分所有法,B,区分所有者及び議決権,169,
64,法令・制度,区分所有法,B,共用部分の変更,153,
65,法令・制度,区分所有法,B,共用部分の管理,153,
66,法令・制度,区分所有法,B,共用部分の保存行為,153,
67,法令・制度,区分所有法,B,共用部分の費用負担,153,
68,法令・制度,区分所有法,B,復旧決議,11,
69,法令・制度,区分所有法,B,義務違反者,32,
70,法令・制度,区分所有法,B,区分所有関係の終了,117,
71,法令・制度,区分所有法,B,規約による別段の定め,224,
72,法令・制度,区分所有法,B,団地建物所有者,7,
73,法令・制度,区分所有法,B,団地特有事項,15,
74,法令・制度,区分所有法,B,棟別管理,7,
75,法令・制度,区分所有法,B,一括建替え決議,164,
76,法令・制度,区分所有法,B,団地内建物の一括建替え,192,
77,法令・制度,区分所有法,B,団地共用部分の管理,153,
78,法令・制度,区分所有法,B,管理所有,12,
79,法令・制度,区分所有法,B,規約共用部分の登記,224,
80,法令・制度,区分所有法,B,占有者,38,
81,法令・制度,区分所有法,C,抵当権の設定,38,
82,法令・制度,区分所有法,C,数個に分かれた専有部分,135,
83,法令・制度,区分所有法,C,一括して譲渡,20,
84,法令・制度,区分所有法,C,専有部分の用途制限,135,
85,法令・制度,区分所有法,C,規約による禁止事項,224,
86,法令・制度,区分所有法,C,規約変更の特別の影響,224,
87,法令・制度,区分所有法,C,規約の効力範囲,224,
88,法令・制度,区分所有法,C,団地建替え承認決議,164,
89,法令・制度,区分所有法,C,棟ごとの建替え決議,164,
90,法令・制度,区分所有法,C,区分所有関係の解消,117,
91,法令・制度,区分所有法,C,規約の遡及効,224,
92,法令・制度,区分所有法,C,規約改正手続,224,
93,法令・制度,区分所有法,C,標準管理規約との関係,224,
94,法令・制度,区分所有法,C,管理組合の権利能力,193,
95,法令・制度,区分所有法,C,集会の延期・続行,90,
96,法令・制度,区分所有法,C,区分所有者の責任範囲,169,
97,法令・制度,区分所有法,C,規約による役員資格制限,224,
98,法令・制度,区分所有法,C,管理者の不法行為責任,140,
99,法令・制度,区分所有法,C,管理者の代理権,140,
100,法令・制度,区分所有法,C,団地全体の合意形成,20,
101,法令・制度,標準管理規約_単棟,A,専有部分の範囲,135,
102,法令・制度,標準管理規約_単棟,A,共用部分の範囲,153,
103,法令・制度,標準管理規約_単棟,A,敷地及び共用部分等の共有,153,
104,法令・制度,標準管理規約_単棟,A,議決権割合,4,
105,法令・制度,標準管理規約_単棟,A,専門委員会,4,
106,法令・制度,標準管理規約_単棟,A,修繕積立金,69,
107,法令・制度,標準管理規約_単棟,A,修繕積立金の取崩し,69,
108,法令・制度,標準管理規約_単棟,A,駐車場使用契約,3,
109,法令・制度,標準管理規約_単棟,A,ペット飼育,4,
110,法令・制度,標準管理規約_単棟,A,緊急時の立入権,7,
111,法令・制度,標準管理規約_単棟,A,専有部分の修繕等,135,
112,法令・制度,標準管理規約_単棟,A,修繕等の届出,17,
113,法令・制度,標準管理規約_単棟,A,管理組合員資格,193,
114,法令・制度,標準管理規約_単棟,A,役員の任期,27,
115,法令・制度,標準管理規約_単棟,A,監事の職務,51,
116,法令・制度,標準管理規約_単棟,A,総会の招集,80,
117,法令・制度,標準管理規約_単棟,A,議事録署名人,20,
118,法令・制度,標準管理規約_単棟,A,会計年度,32,
119,法令・制度,標準管理規約_単棟,A,滞納者への措置,15,
120,法令・制度,標準管理規約_単棟,A,管理規約の変更手続,224,
121,法令・制度,標準管理規約_単棟,B,敷地及び共用部分等の持分,153,
122,法令・制度,標準管理規約_単棟,B,専有部分の使用方法,135,
123,法令・制度,標準管理規約_単棟,B,役員資格,3,
124,法令・制度,標準管理規約_単棟,B,理事会の運営,68,
125,法令・制度,標準管理規約_単棟,B,議決権の行使方法,78,
126,法令・制度,標準管理規約_単棟,B,会計報告,36,
127,法令・制度,標準管理規約_単棟,B,細則の設定・変更,75,
128,法令・制度,標準管理規約_単棟,B,標準管理規約コメント,224,
129,法令・制度,標準管理規約_単棟,B,暴力団等の排除,5,
130,法令・制度,標準管理規約_単棟,B,共同の利益違反,24,
131,法令・制度,標準管理規約_団地,B,団地総会,17,
132,法令・制度,標準管理規約_団地,B,団地修繕積立金,11,
133,法令・制度,標準管理規約_団地,B,各棟修繕積立金,6,
134,法令・制度,標準管理規約_団地,B,団地共用部分の修繕,153,
135,法令・制度,標準管理規約_団地,B,棟ごとの建替え決議の取扱い,164,
136,法令・制度,標準管理規約_団地,B,団地全体の議決,20,
137,法令・制度,標準管理規約_団地,B,団地内駐車場の使用権,78,
138,法令・制度,標準管理規約_団地,B,団地役員構成,45,
139,法令・制度,標準管理規約_団地,B,団地管理規約,3,
140,法令・制度,標準管理規約_複合用途,B,住宅一部共用部分,2,
141,法令・制度,標準管理規約_複合用途,B,店舗一部共用部分,153,
142,法令・制度,標準管理規約_複合用途,B,全体管理費,140,
143,法令・制度,標準管理規約_複合用途,B,住宅一部管理費,140,
144,法令・制度,標準管理規約_複合用途,B,店舗一部管理費,140,
145,法令・制度,標準管理規約_複合用途,B,一部共用部分の管理組合,193,
146,法令・制度,標準管理規約_複合用途,B,用途別議決権,78,
147,法令・制度,標準管理規約_複合用途,B,用途別費用区分,50,
148,法令・制度,標準管理規約_複合用途,B,複合用途型コメント,39,
149,法令・制度,標準管理規約_複合用途,B,全体管理組合,193,
150,法令・制度,標準管理規約_複合用途,B,棟内住宅・店舗の権利関係,117,
151,法令・制度,民法,A,共有,29,
152,法令・制度,民法,A,共有物分割,29,
153,法令・制度,民法,A,抵当権,19,
154,法令・制度,民法,A,賃貸借,8,
155,法令・制度,民法,A,請負契約,10,
156,法令・制度,民法,A,契約不適合責任,33,
157,法令・制度,民法,A,不法行為,6,
158,法令・制度,民法,A,工作物責任,10,
159,法令・制度,民法,A,時効,19,
160,法令・制度,民法,A,消滅時効,4,
161,法令・制度,民法,A,取得時効,31,
162,法令・制度,民法,A,無効,14,
163,法令・制度,民法,A,取消,14,
164,法令・制度,民法,A,無権代理,13,
165,法令・制度,民法,A,代理権,12,
166,法令・制度,民法,A,対抗要件,13,
167,法令・制度,民法,A,配偶者居住権,11,
168,法令・制度,民法,A,相続,11,
169,法令・制度,民法,B,共有持分の処分,33,
170,法令・制度,民法,B,共有物の使用,78,
171,法令・制度,民法,B,根抵当権,19,
172,法令・制度,民法,B,賃借権の登記,93,
173,法令・制度,民法,B,敷金,7,
174,法令・制度,民法,B,賃借権の譲渡,23,
175,法令・制度,民法,B,転貸,18,
176,法令・制度,民法,B,注文者の責任,25,
177,法令・制度,民法,B,善意の第三者,45,
178,法令・制度,民法,B,詐欺・強迫による意思表示,21,
179,法令・制度,民法,B,相続放棄,11,
180,法令・制度,民法,B,遺産分割,12,
181,法令・制度,適正化法,A,マンション管理士,400,
182,法令・制度,適正化法,A,マンション管理業者,400,
183,法令・制度,適正化法,A,管理業務主任者,40,
184,法令・制度,適正化法,A,管理業務主任者証,11,
185,法令・制度,適正化法,A,重要事項説明,16,
186,法令・制度,適正化法,A,重要事項説明書,243,
187,法令・制度,適正化法,A,管理受託契約,15,
188,法令・制度,適正化法,A,契約成立時の書面交付,55,
189,法令・制度,適正化法,A,財産分別管理,140,
