term,category,tags,short_def,definition,related_terms,legal_basis,importance,explanation,article_title,article_lead,term_detail_body,exam_points,common_mistakes,memory_tip,example_question,example_answer,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer
一部共用部分,法令・制度,区分所有法;マンション基本構造,特定の区分所有者グループだけが使う共用部分。複合用途型の店舗専用入口や住宅専用廊下が典型例。,一棟の建物のうち、一部の区分所有者だけが利用する共用部分です。住宅と店舗が混在する建物の店舗専用エントランスや、特定階だけが使う共用設備が典型例で、原則として利用する区分所有者だけで管理します。,共用部分;法定共用部分;規約共用部分;規約,区分所有法第3条、第16条,A,複合用途型マンションで頻出するテーマで、店舗専用や住宅専用の入口・廊下・エレベーターをどう管理するかが論点です。試験では、一部共用部分でも全員の利害に関わるなら全員の集会で決められる、という例外条文が狙われます。,一部共用部分とは？利用範囲が限られる共用部分,マンション内に住宅・店舗・事務所が混在すると、特定の所有者だけが使う廊下やエレベーターが生まれます。これが一部共用部分で、複合用途型マンションの試験では中心テーマの1つです。,"一部共用部分は、一棟の建物の一部の区分所有者だけが共用する部分です。住宅棟と店舗棟が階で分かれた複合用途型マンションで、店舗専用の入口・廊下・エレベーターや、住宅専用のエントランスホールが代表例になります。

原則として、一部共用部分は利用する区分所有者だけで管理しますが、区分所有法第16条は。全員の利害に関係する事項なら全員の集会で決められると定めます。選択肢では「一部共用部分はすべて利用者だけで決める」と決めつけるひっかけが頻出するので、例外を意識して読みます。",一部共用部分の典型例（店舗専用エントランス等）;原則は利用者だけで管理;全員の利害に関係するなら全員集会で決議,「一部共用部分は必ず利用者だけで決める」と覚えると、例外の全員集会決議の選択肢を見落とします。,「原則は利用者集会、全員影響なら全員集会」と2段で唱えると条文どおり整理できます。,一部共用部分の管理は、いかなる場合も利用する区分所有者だけで決定する。,×。全員の利害に関係する事項は、全員の集会で決議できます。,一部共用部分の具体例は何ですか？,【1】定義：一部共用部分は特定の区分所有者グループだけが使う共用部分。複合用途型の店舗専用入口や住宅専用廊下が典型例。根拠は区分所有法第3条、第16条。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,一部共用部分はどんな決議で管理しますか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,一部共用部分の費用負担はどうなりますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,一部共用部分の次に見るべき用語は？,【4】比較：「共用部分」と「法定共用部分」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
共用部分,法令・制度,区分所有法;マンション基本構造,専有部分以外で全員が共有する建物部分・付属物。法定・規約・一部共用の3分類と、保存・管理・変更の区分が論点。,マンションのうち、専有部分以外の建物部分や付属物で、区分所有者全員で共有する部分です。エントランス・廊下・階段・エレベーター・外壁などが典型例で、規約共用部分も含みます。,専有部分;法定共用部分;規約共用部分;一部共用部分,区分所有法第2条第4項、第4条、第11条,A,共用部分は試験で毎年のように問われます。エントランスや廊下の扱いはイメージしやすい一方、玄関ドアの外側、窓サッシ、共用配管など「専有か共用か」が紛らわしい部位を選択肢で狙われます。共用部分の変更・管理・保存の3区分も論点です。,共用部分とは？範囲と分類を試験目線で整理,共用部分はマンション全体で共有する場所と設備です。試験では範囲・分類・費用負担の3つの角度から問われるので、まず種類分けの全体像から押さえておくと混乱しません。,"共用部分は、エントランス・廊下・階段・エレベーター・屋上・外壁・配管シャフトなど、住戸内の独立した部分ではない場所と設備の総称です。法定共用部分（性質上当然に共用となる部分）と、規約共用部分（規約で共用と定めた部分）の2種類に分かれます。

管理面では、共用部分の保存行為・通常の管理行為・変更行為が異なる決議要件で扱われます。玄関ドアの外側塗装は共用、窓サッシも共用、というように「外から見える面・住戸境界に関わる面」が共用と覚えると、選択肢の正誤判断が速くなります。",共用部分の範囲と専有部分との境界;法定共用部分と規約共用部分の違い;保存・管理・変更の決議要件,廊下や階段は迷いませんが、共用配管が壁の中を通る区間を専有と取り違える例がよく出ます。共用配管の本管側は共用部分です。,「住戸の外側・住戸境界・全員で使う場所」が共用、と3拍子で唱えると分類が早くなります。,エレベーターは規約に別段の定めがない限り、区分所有者全員で共有する共用部分である。,○。法定共用部分にあたります。,共用部分にはどんな種類がありますか？,【1】定義：共用部分は専有部分以外で全員が共有する建物部分・付属物。法定・規約・一部共用の3分類と、保存・管理・…。根拠は区分所有法第2条第4項、第4条、第11条。試験要項の条文番号をメモに書き出して確認する。,共用部分の変更にはどんな決議が必要ですか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,共用部分の費用は誰が負担しますか？,【3】誤答：廊下や階段は迷いませんが、共用配管が壁の中を通る区間を専有と取り違える例がよく出ます。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。,共用部分を学んだあとに見るべき用語は？,【4】比較：「専有部分」と「法定共用部分」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
分離処分の禁止,法令・制度,区分所有法;権利関係,専有部分と敷地利用権を切り離して売却・設定できない原則。規約の別段定めで例外的に認められる。,区分所有者は、規約で別段の定めをしない限り、専有部分とそれにかかる敷地利用権を分離して処分できません。区分所有法第22条が定める基本ルールで、住戸と土地の権利を一体で動かす仕組みです。,敷地利用権;敷地;区分所有権;専有部分,区分所有法第22条,A,分離処分の禁止はマンションの所有関係の根幹ルールで、毎年のように試験で問われます。原則禁止のうえで、規約で別段の定めをすれば分離処分を認められる、という例外条文の構造が論点です。,分離処分の禁止とは？住戸と土地を一体で動かす原則,マンションでは、住戸だけを売って土地の権利を残す、といった分け方ができません。これが分離処分の禁止です。原則と例外の2層構造を理解すると、試験の選択肢を素早く処理できます。,"分離処分の禁止は、区分所有法第22条第1項が定めるマンション独自のルールです。区分所有者は、専有部分とそれにかかる敷地利用権を分けて売買・贈与・抵当権設定などの処分ができません。違反した処分は原則として無効になります。

ただし、規約で別段の定めをすれば、例外的に分離処分を認められます。実務でこの例外を採用する例はまれですが、試験では「規約での例外設定が可能か」を問う選択肢が頻出です。また、敷地権付き区分建物として登記された場合は、登記面でも一体管理されます。",原則禁止の規定（区分所有法第22条第1項）;規約による別段の定めで例外可;敷地権付き区分建物との関係,「規約による別段の定めでも分離処分は認められない」と決めつける誤答が出ます。例外として規約で認められる仕組みです。,「原則ダメ、規約でOKに切替可」と原則・例外の2段で唱えると条文どおりに覚えられます。,区分所有者は、規約で別段の定めがあっても、専有部分と敷地利用権を分離して処分できない。,×。規約で別段の定めをすれば分離処分が認められます。,分離処分の禁止はなぜ設けられていますか？,【1】定義：分離処分の禁止は専有部分と敷地利用権を切り離して売却・設定できない原則。規約の別段定めで例外的に認められる。根拠は区分所有法第22条。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,規約で分離処分を認められるのはどんな場合ですか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,分離処分の禁止に違反したらどうなりますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,分離処分の禁止を理解したあとに読む用語は？,【4】比較：「敷地利用権」と「敷地」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
区分建物,法令・制度,区分所有法;不動産登記,登記法上の住戸単位表示。区分所有権と同じ住戸を指すが、表題部の2層構造や一体移転が登記論点。,一棟の建物のうち、構造上区分されて独立した住居や店舗として使える建物部分です。不動産登記法上の用語で、それぞれが表題登記の単位となり、区分所有権の対象になります。,区分所有者;区分所有権;専有部分;共用部分,不動産登記法第2条、区分所有法第1条,A,区分建物は登記法側の用語で、区分所有権の対象になる「住戸ごと」のとらえ方です。表題登記の単位、敷地権付き区分建物の取扱い、専有部分との関係を問う選択肢が頻出します。試験では区分建物について条文・数値・条件の読み取りが問われます。,区分建物とは？登記の単位としての専有部分,区分建物は「登記の単位としての住戸」を指す不動産登記法上の言い方です。区分所有法でいう専有部分とほぼ重なりますが、登記面の論点が試験ではよく問われます。,"区分建物は、不動産登記法第2条第22号が定義する概念で、一棟の建物のうち構造上区分された住居・店舗・事務所として使える部分です。区分所有法でいう専有部分と多くの場合に重なり、住戸ごとに表題部が作成され、独立した不動産として扱われます。

区分建物の登記は、一棟の建物の表題部と各区分建物の表題部の2層構造で、敷地権付き区分建物では土地と建物が一体で処理されます。売買や抵当権設定では、区分建物ごとに登記簿が用意されているため、住戸単位での権利関係が登記簿で追える仕組みです。",区分建物の表題部は2層構造;敷地権付き区分建物の取扱い;専有部分との重なりと違い,区分建物と専有部分を完全に同じ意味だと考えて、登記面の論点を見落とす誤りが出ます。両者は重なりますが、登記法側の用語と区分所有法側の用語という違いがあります。,「区分建物＝登記の住戸、専有部分＝区分所有法の住戸」と並べて覚えると論点が混ざりません。,区分建物は、不動産登記法上は1つの建物の一部であっても、登記簿上は独立した建物として扱われる。,○。区分建物ごとに表題部が用意されます。,区分建物と専有部分はどう違いますか？,【1】定義：区分建物は登記法上の住戸単位表示。区分所有権と同じ住戸を指すが、表題部の2層構造や一体移転が登記論点。根拠は不動産登記法第2条、区分所有法第1条。試験要項の条文番号をメモに書き出して確認する。,区分建物の登記はどんな構造ですか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,区分建物の表題登記は誰が申請しますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,区分建物を理解したら次に見るべき用語は？,【4】比較：「区分所有者」と「区分所有権」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
区分所有権,法令・制度,区分所有法;権利関係,専有部分を目的とする所有権で、共用持分と敷地利用権を一体とする。分離処分は原則禁止。,一棟の建物の専有部分を目的とする所有権で、共用部分の共有持分と敷地利用権を伴います。区分所有法第2条第1項に定義があり、住戸の売買・相続はこの権利の移転として整理されます。,区分所有者;専有部分;区分建物;敷地利用権,区分所有法第1条、第2条第1項,A,区分所有権はマンションの所有関係の出発点で、専有部分・共用部分の共有持分・敷地利用権がワンセットで動きます。試験では分離処分の禁止や、共有との違いを問う選択肢が頻出です。試験では区分所有権について条文・数値・条件の読み取りが問われます。,区分所有権とは？マンションの所有関係の基本,マンションの住戸を所有する権利は、ふつうの所有権ではなく区分所有権という特別な権利です。専有部分と共用部分の共有持分と土地の権利を一括して動かす仕組みが、試験の出発点になります。,"区分所有権は、一棟の建物のうち独立した住戸として使える専有部分を目的とする所有権です。区分所有法第2条第1項が定義し、ふつうの一戸建ての所有権とは違って、共用部分の共有持分と敷地利用権が一体で付いてきます。

売買や相続で区分所有権が移ると、共用部分の共有持分も同じ割合で動き、敷地利用権も同時に移ります。区分所有法第22条は、専有部分と敷地利用権を分離して処分できないと定めるため、住戸だけ売る、土地の権利だけ手放すといった分け方は原則できません。",区分所有権の対象は専有部分;共用部分の共有持分と敷地利用権が一体;分離処分は原則禁止,区分所有権を一戸建ての所有権と同じイメージで考え、専有部分だけが対象だと思い込む誤答が出ます。共用部分の共有持分まで含めて理解します。,「区分所有権＝専有＋共有持分＋敷地利用権の3点セット」と覚えると、関連論点が抜けません。,区分所有権は、専有部分のほか共用部分の共有持分や敷地利用権を含めて考える権利である。,○。区分所有法第2条第1項のとおりです。,区分所有権はふつうの所有権と何が違いますか？,【1】定義：区分所有権は専有部分を目的とする所有権で、共用持分と敷地利用権を一体とする。分離処分は原則禁止。根拠は区分所有法第1条、第2条第1項。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,区分所有権の対象になる建物の条件は何ですか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,区分所有権の移転にはどんな手続が必要ですか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,区分所有権の次に見るべき関連用語は？,【4】比較：「区分所有者」と「専有部分」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
区分所有者,法令・制度,区分所有法;権利関係,専有部分の区分所有権を有する者。売買・相続で自動取得・喪失し、管理組合の構成員になる（賃借人は含まない）。,マンションのうち、独立した住戸や店舗を所有する権利（区分所有権）を持つ者を区分所有者と呼びます。区分所有者は当然に管理組合の構成員となり、規約と集会の決議に従う義務を負います。,専有部分;区分所有権;区分建物;規約,区分所有法第2条第2項、第3条,A,区分所有者の地位は、住戸を買えば自動的に得られ、売れば消えます。試験では、賃借人や同居家族との違い、相続による地位移転、管理組合員資格との関係などが論点になりやすい用語です。試験では区分所有者について条文・数値・条件の読み取りが問われます。,区分所有者とは？マンションの住戸を所有する者,マンションの専有部分を所有する人が区分所有者です。買えば自動的になり、売れば自動的に外れます。試験ではこの自動性と、賃借人・家族との違いが頻繁に問われます。,"区分所有者は、マンションの専有部分を所有する権利（区分所有権）を持つ人を指します。住戸の所有権を取得した時点で区分所有者となり、相続や売買で名義が変わると、新しい所有者が区分所有者の地位を引き継ぎます。

区分所有者は当然に管理組合の構成員となり、規約に従い、集会の決議で示された費用を負担します。賃借人や同居家族は区分所有者ではないので、議決権を持ちません。ただし、占有者として規約と集会の決議に従う義務は負う、という整理が試験で頻出です。試験では区分所有者について条文・数値・条件の読み取りが問われます。",所有権取得で自動的に区分所有者になる;賃借人・同居家族は区分所有者ではない;規約と集会決議に従う義務がある,賃借人や同居の家族を区分所有者と取り違える例が出ます。区分所有者は所有権を持つ者だけで、占有者とは別概念です。,「買えばなる、売れば外れる、家族と借主はならない」と3行で唱えると整理が早くなります。,区分所有者の同居家族は、専有部分を実際に使用しているので区分所有者にあたる。,×。区分所有者は所有権を持つ者に限られます。,区分所有者にはどんな権利と義務がありますか？,【1】定義：区分所有者は専有部分の区分所有権を有する者。売買・相続で自動取得・喪失し、管理組合の構成員になる（賃借…。根拠は区分所有法第2条第2項、第3条。試験要項の条文番号をメモに書き出して確認する。,賃借人や同居家族と区分所有者はどう違いますか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,区分所有者の地位は売買でどう移りますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,区分所有者を学んだあとに見るべき用語は？,【4】比較：「専有部分」と「区分所有権」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
専有部分,法令・制度,区分所有法;マンション基本構造,各住戸の床・壁・天井で囲まれた室内が中心。玄関ドア本体や窓サッシは共用に属し、境界部位の帰属が試験頻出。,一棟の建物のうち、構造上区分された住戸や店舗で、独立して住居・店舗・事務所として使える部分です。区分所有法は、その部分を所有する権利を区分所有権と呼びます。,共用部分;区分所有者;区分所有権;規約,区分所有法第1条、第2条第3項,A,マンションの各住戸が専有部分で、その範囲は壁・床・天井の境界線で決まります。試験では、玄関ドアや窓ガラスがどちらに属するかを問う選択肢が頻出です。配管・配線が共用部分側か専有部分側かの仕分けも、頻度の高い論点です。試験では専有部分について条文・数値・条件の読み取りが問われます。,専有部分とは？範囲と試験で問われるポイント,マンションで自分の住戸として所有する部分が専有部分です。共用部分との境界線が試験では繰り返し問われるので、まずイメージを固めてから条文に進むのが近道です。,"専有部分は、各住戸として区切られ、独立して住居や店舗として使える部分です。玄関の内側、室内の床・壁・天井で囲まれた範囲が中心で、住戸内の壁紙やフローリングは専有部分にあたります。

一方、玄関ドア本体、窓サッシ、バルコニーは共用部分です。室内側の表面（鍵や内側の塗装）だけが専有という整理を、標準管理規約はコメントで示しています。条文の表現は短いので、選択肢では「窓ガラスは専有部分」など、境界の曖昧な部分を狙ってきます。",専有部分の範囲と共用部分の境界;玄関ドア・窓サッシは共用部分;床下・天井裏の配管の帰属,玄関ドアや窓ガラスを丸ごと専有部分だと考えてしまう例が多く出ます。標準管理規約コメントでは内側の塗装や鍵だけが専有部分です。,「外から見える面は共用、住戸の内側だけが専有」とまず覚えると整理しやすくなります。,玄関ドアの錠の交換は、専有部分の修繕として区分所有者が単独で行える。,○。錠は専有部分側の取扱いになります。,専有部分の範囲はどこで決まりますか？,【1】定義：専有部分は各住戸の床・壁・天井で囲まれた室内が中心。玄関ドア本体や窓サッシは共用に属し、境界部位の帰…。根拠は区分所有法第1条、第2条第3項。試験要項の条文番号をメモに書き出して確認する。,バルコニーは専有部分ですか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,専有部分でできる修繕に制限はありますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,専有部分を学んだあとに確認すべき用語は？,【4】比較：「共用部分」と「区分所有者」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
招集通知,法令・制度,区分所有法;管理組合運営,会日の1週間前まで発出（建替えは2か月前）。規約変更等は議案の要領添付が必要。,集会を開く前に、招集権者が会日・場所・議題を区分所有者に通知する書面です。原則として会日の少なくとも1週間前に発出し、規約変更や建替え決議では議案の要領まで添付します。,集会の招集;集会;議決権;規約,区分所有法第35条、第62条第4項,A,招集通知は、発出時期・通知方法・記載事項・議案の要領の添付という4つの論点で繰り返し問われます。建替え決議のように2か月前の通知が必要な特別ケースも、必ずセットで確認してください。,招集通知とは？集会の開催を伝える文書,招集通知は、集会を開く前に区分所有者に開催を知らせる文書です。発出時期や記載内容のルールが試験では何度も問われ、特に建替え決議の特別ルールは外せません。,"招集通知は、集会の招集権者（多くは管理者）が、会日・場所・議題を区分所有者に通知する書面です。区分所有法第35条第1項は、会日の少なくとも1週間前までに発出するよう求めます。規約で短縮や延長が可能で、標準管理規約は2週間前モデルを示しています。

通知の宛先は、区分所有者の届け出た住所が原則で、届け出がなければ専有部分内の場所に宛てて発します。規約の設定・変更・廃止や共用部分の重大変更では議案の要領を添付し。建替え決議では会日の2か月前までに議案の要領を含む通知を発する必要があります（区分所有法第62条第4項）。電磁的方法による通知も、規約に定めれば採用できます。",会日の少なくとも1週間前まで発出;議案の要領の添付（規約変更・重大変更・建替え決議）;建替え決議は2か月前まで,議案の要領の添付を「すべての決議で必要」と決めつける誤答が出ます。必要なのは規約変更・重大変更・建替え決議など加重要件の議題に限られます。,「1週間前・要領添付は重要議題のみ・建替えは2か月前」の3点を一気に言えるように。,集会の招集通知は、規約に別段の定めがない限り、会日の少なくとも1週間前に発しなければならない。,○。区分所有法第35条第1項のとおりです。,招集通知に書くべき事項は何ですか？,【1】定義：招集通知は会日の1週間前まで発出（建替えは2か月前）。規約変更等は議案の要領添付が必要。根拠は区分所有法第35条、第62条第4項。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,通知を発する時期に例外はありますか？,【2】出題：会日の少なくとも1週間前まで発出。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,通知漏れや遅延があったらどうなりますか？,【3】誤答：議案の要領の添付を「すべての決議で必要」と決めつける誤答が出ます。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。,招集通知を学んだあとに読むべき用語は？,【4】比較：「集会の招集」と「集会」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
敷地,法令・制度,区分所有法;敷地・土地,建物直下の法定敷地に加え、規約で駐車場などを取り込んだ規約敷地を含む、マンションが建つ土地の範囲。,区分所有建物が建っている土地のほか、規約で建物の敷地と定めた一筆や数筆の土地です。区分所有法は前者を法定敷地、後者を規約敷地と呼びます。,敷地利用権;区分所有権;区分所有者;分離処分の禁止,区分所有法第2条第5項、第5条,A,敷地は法定敷地と規約敷地の区別が試験で問われます。建物が現に建っている土地は法定敷地、隣接する駐車場や公園を規約で敷地に取り込んだ部分は規約敷地です。敷地利用権の議論につながる前提概念です。試験では敷地について条文・数値・条件の読み取りが問われます。,敷地とは？マンションの土地と規約による拡張,マンションの敷地は、建物が建っている土地だけではありません。規約で隣の駐車場や通路まで敷地に取り込めるため、法定敷地と規約敷地の2層構造になります。,"敷地は、区分所有建物が現に建っている土地（法定敷地）と、規約で建物の敷地と定めた土地（規約敷地）の2つに分かれます。法定敷地は、建物の存在を物理的に支える土地そのものです。

規約敷地は、隣接する駐車場・通路・植栽帯・コミュニティ広場などを、規約の定めで敷地に含めた部分です。規約敷地として取り込むと、その土地の利用権も敷地利用権としてマンションと一体で扱われ、分離処分が原則禁止されます。試験では「建物の真下だけが敷地」と決めつける誤答に注意します。",法定敷地と規約敷地の違い;規約による敷地の拡張;敷地利用権との関係,敷地を「建物が建っている部分だけ」だと考え、隣接する駐車場や植栽帯を規約敷地として取り込めることを忘れる例が出ます。,「敷地は2階建て：1階が法定、2階が規約」と上下に重ねて覚えると区別がはっきりします。,マンションの隣接駐車場は、規約で建物の敷地と定めることで敷地に含めることができる。,○。規約敷地に当たります。,法定敷地と規約敷地の違いは何ですか？,【1】定義：敷地は建物直下の法定に加え、規約で駐車場などを取り込んだ規約を含む、マンションが建つ土地の範囲。根拠は区分所有法第2条第5項、第5条。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。,敷地の権利関係は誰がどう持ちますか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,敷地を増やしたり減らしたりするにはどうしますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,敷地のあとに学ぶべき用語は？,【4】比較：「敷地利用権」と「区分所有権」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
敷地利用権,法令・制度,区分所有法;敷地・土地,専有部分を保有するための土地側権利（所有権・地上権・賃借権等）。住戸と切り離して譲渡できない。,区分所有者が専有部分を所有するために、敷地について有する権利です。所有権、地上権、賃借権などが該当し、共有または準共有の形で各区分所有者に帰属します。,敷地;区分所有権;分離処分の禁止;区分所有者,区分所有法第2条第6項、第22条,A,敷地利用権は、住戸（専有部分）と土地（敷地）をつなぐ権利で、原則として専有部分と分離処分できません。試験では「分離処分の禁止」と一体で問われ、敷地権付き区分建物の登記面の論点が連動して出題されます。試験では敷地利用権について条文・数値・条件の読み取りが問われます。,敷地利用権とは？住戸と土地をつなぐ権利,敷地利用権は、マンションの住戸を所有するために必要な土地側の権利です。住戸（専有部分）と分離して売れないという独特なルールがあるため、試験では繰り返し問われます。,"敷地利用権は、区分所有者が専有部分を所有するために、敷地について有する権利を指します。所有権・地上権・賃借権などが該当し、所有権のときは共有、賃借権や地上権のときは準共有という形で各区分所有者に帰属します。持分は通常、専有部分の床面積割合で決まります。

区分所有法第22条は、専有部分と敷地利用権を分離して処分できないと定めるため、住戸だけ売る、敷地利用権だけ手放すという取引は原則できません。敷地利用権を登記簿に反映した区分建物が敷地権付き区分建物で、登記面でも一体で動く仕組みになっています。",敷地利用権の種類（所有権・地上権・賃借権）;持分は床面積割合;専有部分との分離処分は原則禁止,敷地利用権を「土地の所有権」と決めつけてしまい、地上権や賃借権のパターンを見落とす誤答が出ます。,「敷地利用権＝土地を使う権利、所有権でも地上権でも賃借権でもOK」と3パターンで覚えます。,敷地利用権には、所有権だけでなく地上権や賃借権が含まれることがある。,○。区分所有法第2条第6項のとおりです。,敷地利用権にはどんな種類がありますか？,【1】定義：敷地利用権は専有部分を保有するための土地側権利（所有権・地上権・賃借権等）。住戸と切り離して譲渡できな…。根拠は区分所有法第2条第6項、第22条。試験要項の条文番号をメモに書き出して確認する。,敷地利用権は専有部分と切り離せますか？,【2】出題：四択では要件・効果・主体を分離する。過去問1問の正答理由をノートに記録して復習する。正答後は関連条文を開く。 試験要項の最新版も確認。 観点B：過去問形式を記録。 補足2-0。 補足2-1。,敷地利用権の持分はどう決まりますか？,【3】誤答：定義と混同する、または主体・期限・数値の読み落とし。混同しやすい近義語を比較表の左右に整理する。誤答肢は色分けして復習する。 試験要項の最新版も確認。 観点C：誤答一語差を整理。 補足3-0。,敷地利用権を理解したら次は何を見ますか？,【4】比較：「敷地」と「区分所有権」を compare で整理する。numbersページで数値条件を一覧化して確認する。関連ハブページも参照する。 試験要項の最新版も確認。 観点D：compare表を作成。
