slug,genre,title,content_status,portfolio_block,intent_type,seo_tier,seo_score,auto_decision,merge_target,primary_keyword_hint,rationale,in_keep_core,field_id,field_match,is_custom_slug,expert_pass,slug_cluster,manual_decision,notes
application-deadline-checklist,受験・申込,マンション管理士試験の申込締切前チェックリスト【令和8年度】,published,A制度,do,A,78,keep,,マンション管理士試験の申込締切前チェックリスト【令和8年度】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-application-flow,受験・申込,"マンション管理士試験の申込みの流れ【令和8年度·9,400円】",published,A制度,do,A,78,keep,,"マンション管理士試験の申込みの流れ【令和8年度·9,400円】",KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-eligibility,受験・申込,マンション管理士試験の受験資格【令和8年度·区分表の読み方】,published,A制度,do,A,78,keep,,マンション管理士試験の受験資格【令和8年度·区分表の読み方】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-fees,受験・申込,"マンション管理士試験の受験手数料【9,400円·令和8年度】",published,A制度,do,A,78,keep,,"マンション管理士試験の受験手数料【9,400円·令和8年度】",KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-schedule,受験・申込,マンション管理士試験の試験日程【令和8年度·11月29日·50問120分】,published,A制度,do,A,78,keep,,マンション管理士試験の試験日程【令和8年度·11月29日·50問120分】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-venue-and-region,受験・申込,マンション管理士試験の受験地·会場の確認【11/29·13:00開始】,published,A制度,do,A,78,keep,,マンション管理士試験の受験地·会場の確認【11/29·13:00開始】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-overview,試験概要,マンション管理士試験の概要【令和8年度·7分野50問120分】,published,A制度,do,C,66,keep,,マンション管理士試験の概要【令和8年度·7分野50問120分】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
official-info-sources,試験概要,マンション管理士試験の公式情報の確認先と優先順位【要項PDF正本】,published,A制度,do,C,66,keep,,マンション管理士試験の公式情報の確認先と優先順位【要項PDF正本】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
pass-announcement-guide,注意点・更新,マンション管理士試験の合格発表の確認方法【公式正本】,published,A制度,do,C,66,keep,,マンション管理士試験の合格発表の確認方法【公式正本】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
registration-after-pass,注意点・更新,マンション管理士試験の合格後の登録·免許【1/31期限】,published,A制度,do,C,66,keep,,マンション管理士試験の合格後の登録·免許【1/31期限】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
compare-similar-qualifications,試験概要,マンション管理士試験と混同しやすい資格·制度の比較【4制度表】,published,A制度,do,C,9,merge,exam-overview,マンション管理士試験と混同しやすい資格·制度の比較【4制度表】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,compare,,
concurrent-exam-rules,受験・申込,マンション管理士試験の併願·同日受験のルール【令和8年度】,published,A制度,do,A,9,merge,exam-eligibility,マンション管理士試験の併願·同日受験のルール【令和8年度】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
education-requirement,受験・申込,マンション管理士試験の学歴要件と受験資格【令和8年度·区分表】,published,A制度,do,A,9,merge,exam-eligibility,マンション管理士試験の学歴要件と受験資格【令和8年度·区分表】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
exam-purpose-and-career,試験概要,マンション管理士試験の目的とキャリア【受験理由1行メモ】,published,A制度,do,C,9,merge,exam-overview,マンション管理士試験の目的とキャリア【受験理由1行メモ】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
exemption-system,受験・申込,マンション管理士試験の免除制度【令和8年度·要項確認手順】,published,A制度,do,A,9,merge,exam-eligibility,マンション管理士試験の免除制度【令和8年度·要項確認手順】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
