exam_year,exam_wareki,question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,is_exempt,is_invalidated,note,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point,related_links
2019,令和元年度,1,single,区分所有法,組合せ;区分所有法,規約に関する次の記述のうち、区分所有法の定めによれば、その効力が認 められないものの組合せはどれか。 ア 構造上区分所有者の全員又はその一部の共用に供されるべき建物の部分を専 有部分とする規約の定め イ 区分所有権の目的とすることができる建物の部分及び附属の建物を共用部分 とする規約の定め ウ 管理組合法人における理事の任期を3年とする規約の定め エ 共用部分の変更（その形状又は効用の著しい変更を伴わないものを除く。） は、区分所有者の4分の3以上の多数で、かつ議決権の3分の2以上の多数に よる集会の決議で決するとする規約の定め,,,,,,アとイ,イとウ,ウとエ,エとア,4,FALSE,FALSE,,"正解は4（エとア）。

ア（効力なし）　区分所有法第4条第1項により、構造上区分所有者の全員または一部の共用に供されるべき建物の部分は区分所有権の目的とならないと定められており、これは強行規定である。同部分を専有部分とする旨の規約を設けても、その効力は認められない。

イ（効力あり）　区分所有法第4条第2項は、区分所有権の目的たりうる建物の部分および附属の建物を、規約により共用部分とすることを認めている。本肢はこの規定に沿ったものであるため、効力が認められる。

ウ（効力あり）　区分所有法第47条第10項は、管理組合法人の理事の任期について「2年とする。ただし、規約で3年以内において別段の期間を定めたときは、その期間とする」と規定する。任期を3年とする規約は同項の範囲内であり、効力が認められる。

エ（効力なし）　区分所有法第17条第1項は、形状または効用の著しい変更を伴う共用部分の変更について「区分所有者及び議決権の各4分の3以上の多数」による決議を要求している。同項ただし書では「区分所有者の定数は規約でその過半数まで減ずることができる」と規定するが、議決権の定数については規約による変更が認められていない。本肢は議決権の定数を「3分の2以上」に緩和しようとするものであり、法の認める範囲を超えるため効力が認められない。

これらを踏まえると、効力が認められないのはアとエであり、正解は選択肢4（エとア）。",,,,,
2019,令和元年度,2,single,区分所有法,いくつあるか;区分所有法;民法,規約により建物の敷地とされた土地に関する次の記述のうち、区分所有法 の定めによれば、内容が正確なものはいくつあるか。 ア 規約により建物の敷地とすることができる土地には、区分所有者が建物及び 建物が所在する土地と一体として管理又は使用をする庭、通路、駐車場等の土 地も含む。 イ 規約により建物の敷地とされた土地の管理は、民法（明治29年法律第89号） の定めるところによるのであり、区分所有法の定めるところによるのではない。 ウ 建物の所在する土地が建物の一部の滅失により建物が所在する土地以外の土地 となったときは、その土地は、規約で建物の敷地と定められたものとみなされる。 エ 建物が所在する土地の一部が分割により建物が所在する土地以外の土地と なったときは、その土地は、改めて規約で定めなければ建物の敷地とすること ができない。,,,,,,一つ,二つ,三つ,四つ―1―,2,FALSE,FALSE,,"正解は2（二つ）。アとウが正しい。

ア（正しい）　区分所有法第5条第1項は、規約により建物の敷地とすることができる土地として、区分所有者が建物及び建物が所在する土地と一体として管理または使用をする庭、通路、駐車場等の土地を含むと規定しており、本肢の記述は正当である。

イ（誤り）　規約敷地の管理は民法によるのではなく、区分所有法の定めるところによる（同法第5条第2項）。本肢の記述は誤っている。

ウ（正しい）　区分所有法第5条第1項後段は、建物の所在する土地が建物の一部の滅失により建物が所在する土地以外の土地となったときは、その土地は規約で建物の敷地と定められたものとみなすと規定する。本肢の記述は正当である。

エ（誤り）　建物が所在する土地の一部が分割により建物が所在する土地以外の土地となったときも、その土地は規約で建物の敷地と定められたものとみなされる（同法第5条第1項後段）。改めて規約で定める必要はなく、本肢の記述は誤っている。

これらを踏まえると、正しいものはアとウの二つであり、正解は選択肢2となる。",,,,,
2019,令和元年度,3,single,区分所有法,正解選択;区分所有法,区分所有法第7条の先取特権に関する次の記述のうち、区分所有法及び民 法の定めによれば、内容が正確なものはどれか。,,,,,,区分所有者が有する区分所有法第7条の先取特権の被担保債権は、共用部分、建物の敷地又は共用部分以外の建物の附属施設につき他の区分所有者に対して有する債権に限られる。,管理者が、管理組合との間に報酬を受ける特約がある場合において、管理組合に対して有する報酬債権は、区分所有法第7条の先取特権の対象となる。,区分所有法第7条の先取特権は、債務者が専有部分を賃貸しているときは、民法第304条の物上代位により賃料に対して行使できる。,区分所有法第7条の先取特権の目的物は、債務者の区分所有権に限らず、債務者の全ての財産である。,3,FALSE,FALSE,,"正解は3。

選択肢1（誤り）　区分所有法第7条第1項の先取特権の被担保債権は、共用部分・建物の敷地・共用部分以外の建物の附属施設につき他の区分所有者に対して有する債権のほか、規約若しくは集会の決議に基づき他の区分所有者に対して有する債権も含まれる。本肢は「限られる」としており誤りである。

選択肢2（誤り）　区分所有法第7条の先取特権は、区分所有者が他の区分所有者に対して有する債権を被担保債権とするものであり、管理者が管理組合に対して有する報酬債権は被担保債権とはならない。本肢の記述は誤っている。

選択肢3（正しい）　区分所有法第7条の先取特権は、民法第304条の規定による物上代位が認められており、債務者が専有部分を賃貸しているときは、賃料に対して先取特権を行使することができる。本肢の記述は正当である。

選択肢4（誤り）　区分所有法第7条の先取特権の目的物は、債務者の区分所有権及び建物に備え付けた動産であり（同法第7条第1項）、債務者の全財産ではない。本肢の記述は誤っている。

これらを踏まえると、正解は選択肢3。",,,,,
2019,令和元年度,4,single,区分所有法,誤り選択;区分所有法;民法,Aは、Bの所有する専有部分について、Bから賃借し、敷金を差し入れた 上で、引渡しを受けてその使用を始めたが、Bが敷地利用権を有していなかったこ とから、専有部分の収去を請求する権利を有するCが、Bに区分所有権を時価で売 り渡すべきことを請求する通知（この問いにおいて「本件通知」という。）を行っ た。この場合における次の記述のうち、民法及び区分所有法の規定並びに判例によ れば、内容が正確でないものはどれか。,,,,,,本件通知の後に、AがCの承諾を得てDに対して賃借権を譲渡したときには、敷金に関するAの権利義務関係はDに承継される。,本件通知前にAがBに対して賃料を支払っていなかった場合、BのAに対する未払いの賃料債権は、債権譲渡がなされなければ、BからCに移転しない。,賃貸人の地位がBからCに移転したとしても、Cは、所有権の移転登記を経なければ、Aに対して、賃料請求をすることはできない。,本件通知がBに到達することによって、Bの承諾がなくても、BとCの間に専有部分及び共用部分の持分を売買対象とした売買契約成立の効果が生じることとなる。―2―,1,FALSE,FALSE,,"正解は1。

選択肢1（誤り）　賃借権の譲渡があった場合、敷金に関する権利義務関係は、原則として旧賃借人（A）と賃貸人との間で清算され、譲受人（D）には当然には承継されない（最高裁判例）。敷金の承継には賃貸人の承諾のほか、旧賃借人との精算が必要であり、本肢の記述は誤っている。

選択肢2（正しい）　賃料債権は特段の事情がない限り当然に移転するものではなく、債権譲渡等の手続が必要である（民法第466条以下）。本肢の記述は正当である。

選択肢3（正しい）　所有権の移転登記をしなければ、新賃貸人は賃借人に対して賃料請求ができない（民法第605条の2第3項）。本肢の記述は正当である。

選択肢4（正しい）　区分所有法第10条の規定による売渡請求の通知が到達することによって、Bの承諾がなくても、BとCの間に専有部分及び共用部分の持分を対象とした売買契約が成立する効果が生じる（判例）。本肢の記述は正当である。

これらを踏まえると、不正確な記述は選択肢1であり、正解は選択肢1となる。",,,,,
2019,令和元年度,5,single,区分所有法,誤り選択;区分所有法,一部の区分所有者のみの共用に供されるべきことが明らかな共用部分（こ の問いにおいて「一部共用部分」という。）の管理に関する次のマンション管理士 の説明のうち、区分所有法の定めによれば、内容が正確でないものはどれか。,,,,,,一部共用部分の管理のうち、区分所有者全員の利害に関係するものは、一部共用部分を共用する一部の区分所有者だけで行うことはできません。,一部共用部分の管理は、区分所有者全員の規約に定めがあるものを除き、これを共用すべき区分所有者のみで行うことになります。,すべての一部共用部分について、その管理のすべてを区分所有者全員で行う場合には、一部の区分所有者のみで構成される区分所有法第3条に規定される区分所有者の団体は存在しないことになります。,一部共用部分に関する事項で区分所有者全員の利害に関係しないものについての区分所有者全員の規約の設定は、当該一部共用部分を共用すべき区分所有者の4分の1を超える者又はその議決権の4分の1を超える議決権を有する者が反対したときは、することができません。,2,FALSE,FALSE,,"正解は2。

選択肢1（正しい）　一部共用部分の管理のうち、区分所有者全員の利害に関係するものは、区分所有者全員で行わなければならず、一部の区分所有者だけで行うことはできない（同法第16条）。本肢の記述は正当である。

選択肢2（誤り）　一部共用部分の管理は、区分所有者全員の規約に定めがある場合を除き、これを共用すべき区分所有者のみで行う（同法第16条）。ただし、管理者は一部共用部分のみを共用する区分所有者のみで行われる管理についても、必要に応じて助力する等の関与が認められる場合がある。本肢は「区分所有者全員の規約に定めがあるものを除き」という点が問題文の「全員の規約に定めがある場合は全員で行う」趣旨と混同されており、誤りである。

選択肢3（正しい）　すべての一部共用部分の管理を区分所有者全員で行う場合には、一部の区分所有者のみで構成される区分所有法第3条の団体は存在しないことになる。本肢の記述は正当である。

選択肢4（正しい）　区分所有法第31条第1項後段により、当該一部共用部分を共用すべき区分所有者の4分の1を超える者またはその議決権の4分の1を超える議決権を有する者が反対したときは、一部共用部分に関する事項の全員規約の設定はできない。本肢の記述は正当である。

これらを踏まえると、不正確な記述は選択肢2であり、正解は選択肢2となる。",,,,,
2019,令和元年度,6,single,区分所有法,いくつあるか;区分所有法,集会招集手続きに関する次の記述のうち、区分所有法の定めによれば、正 しいものはいくつあるか。ただし、規約に別段の定めはないものとする。 ア 区分所有者の5分の1以上で議決権の5分の1以上を有するものが、管理者 に対し、会議の目的たる事項を示して、集会の招集を請求した。 イ 区分所有者が法所定の手続きに従い管理者に対して集会の招集を請求したに もかかわらず、管理者が2週間経過しても集会の招集の通知を発しなかったた め、その請求をした区分所有者が集会を招集した。 ウ 専有部分が二人の共有に属する場合、議決権を行使すべき者が定められてい なかったときは、管理者は、集会の招集の通知を共有者の双方に発しなければ ならない。 エ 管理者がないときに、区分所有者の5分の1以上で議決権の5分の1以上を 有するものが、集会の招集をした。,,,,,,一つ,二つ,三つ,四つ―3―,3,FALSE,FALSE,,"正解は3（三つ）。ア、イ、エが正しい。

ア（正しい）　区分所有法第34条第3項は、区分所有者の5分の1以上で議決権の5分の1以上を有するものが管理者に対し集会の招集を請求できると規定する。本肢の記述は正当である。

イ（正しい）　管理者が2週間以内に招集通知を発しないときは、請求をした区分所有者が招集できる（同法第34条第4項）。本肢の記述は正当である。

ウ（誤り）　専有部分が2人の共有に属する場合、議決権行使者が定められていないときは、共有者の「いずれか一人」に通知すれば足りる（同法第35条第3項）。「双方に発しなければならない」とする本肢の記述は誤っている。

エ（正しい）　管理者がないときは、区分所有者の5分の1以上で議決権の5分の1以上を有するものが直接集会を招集できる（同法第34条第5項）。本肢の記述は正当である。

これらを踏まえると、正しいものはア、イ、エの三つであり、正解は選択肢3となる。",,,,,
2019,令和元年度,7,single,区分所有法,誤り選択;区分所有法,団地管理組合法人に関する次の記述のうち、区分所有法の定めによれば、 内容が正確でないものはどれか。,,,,,,団地管理組合法人は、団地共用部分に係る損害保険契約に基づく保険金額の請求及び受領について、団地建物所有者を代理する。,団地管理組合法人の理事は、特定の行為の代理を他人に委任することを、規約又は集会の決議によって禁止されることはない。,団地管理組合法人の監事は、財産の状況又は業務の執行について、法令若しくは規約に違反し、又は著しく不当な事項があると認め、これを報告するために必要があるときは、集会を招集することができる。,団地管理組合法人は、団地建物所有者及び議決権の各4分の3以上の多数による集会の決議によって解散することができる。,2,FALSE,FALSE,,"正解は2。

選択肢1（正しい）　区分所有法第66条が準用する第47条第6項により、団地管理組合法人は、団地共用部分に係る損害保険契約に基づく保険金額の請求及び受領について、団地建物所有者を代理する。本肢の記述は正当である。

選択肢2（誤り）　管理組合法人の理事は、規約または集会の決議によって、特定の行為の代理を他人に委任することを禁止される場合がある（同法第49条第8項、民法第107条準用）。「禁止されることはない」とする本肢の記述は誤っている。

選択肢3（正しい）　区分所有法第50条第2項により、監事は財産の状況または業務の執行について法令若しくは規約に違反し、または著しく不当な事項があると認めこれを報告するために必要があるときは、集会を招集することができる。本肢の記述は正当である。

選択肢4（正しい）　区分所有法第55条第1項第2号により、団地管理組合法人は団地建物所有者及び議決権の各4分の3以上の多数による集会の決議によって解散できる。本肢の記述は正当である。

これらを踏まえると、不正確な記述は選択肢2であり、正解は選択肢2となる。",,,,,
2019,令和元年度,8,single,区分所有法,誤り選択;区分所有法;民法,甲マンションの管理組合Aの組合員Bは、101号室の区分所有権の購入に 際して、C銀行から融資を受けてCのために抵当権を設定し登記を行い、また、現 在は同室をDに賃貸して賃料収入を得ている。Bは極めて長期間管理費等を滞納し ており、滞納額も多額となったため、Aが再三にわたり督促をしているが、Bは一 切無視し続けている。この場合における次の記述のうち、区分所有法、民法、不動 産登記法（平成16年法律第123号）及び民事執行法（昭和54年法律第4号）の規 定によれば、内容が正確でないものはどれか。,,,,,,B及びDは、101号室について、Cの承諾を得なくても賃借権の登記をすることができる。,Bの管理費等の滞納が原因で、建物の修繕に重大な支障が生じるような状況に至っている場合は、Bの滞納は、建物の管理に関し区分所有者の共同の利益に反する行為に該当する。,Bの区分所有権及び敷地利用権の最低売却価額で滞納管理費等を回収できる見込みがない場合でも、Aは区分所有法第59条の規定による競売を請求することができる。,Cが抵当権の実行として101号室を競売し、Eが当該競売における手続きを経て買受人となった場合には、Aは、Eに対して、滞納管理費等を請求することはできない。―4―,4,FALSE,FALSE,,"正解は4。

選択肢1（正しい）　不動産登記法の規定により、賃借権の登記は賃貸人と賃借人が共同して申請する。抵当権者の承諾は不要である。BとDは共同申請によって賃借権登記ができる。本肢の記述は正当である。

選択肢2（正しい）　管理費等の長期滞納が原因で建物の修繕に重大な支障が生じている場合は、区分所有法第6条第1項の「共同の利益に反する行為」に該当する（判例）。本肢の記述は正当である。

選択肢3（正しい）　区分所有法第59条の競売請求は、最低売却価額で滞納管理費等が回収できる見込みがなくても請求することができる。同条は回収可能性を要件としていない。本肢の記述は正当である。

選択肢4（誤り）　区分所有法第8条は、特定承継人も前区分所有者の滞納管理費等の支払義務を負うと規定する。競売によってEが買受人となった場合でも、AはEに対して滞納管理費等を請求することができる。「請求することはできない」とする本肢の記述は誤っている。

これらを踏まえると、不正確な記述は選択肢4であり、正解は選択肢4となる。",,,,,
2019,令和元年度,9,single,区分所有法,誤り選択;区分所有法,マンションの一部が滅失した場合のマンションの復旧又は建替えに関する 次の記述のうち、区分所有法の定めによれば、内容が正確でないものはどれか。,,,,,,マンションの滅失が建物の価格の2分の1以下に相当する部分の滅失であるときは、各区分所有者が滅失した共用部分を復旧することができるが、復旧の工事に着手するまでに集会において復旧又は建替えの決議があった場合はこの限りでない。,マンションの滅失が建物の価格の2分の1を超えるときは、復旧の決議をした集会の議事録には、その決議についての各区分所有者の賛否をも記載し、又は記録しなければならない。,建替え決議をするときは、決議事項の一つとして、建物の取壊し及び再建建物の建築に要する費用の概算額を定めなければならないが、併せて、その費用の分担に関する事項についても定める必要がある。,建替え決議を会議の目的とする集会を招集した者は、区分所有者からの要請がなければ、当該招集の際に通知すべき事項についての説明会を開催する必要はない。―5―,4,FALSE,FALSE,,"正解は4。

選択肢1（正しい）　区分所有法第61条第1項本文は、小規模滅失の場合、各区分所有者が滅失した共用部分を復旧できると規定するが、工事着手前に集会で復旧または建替えの決議があった場合はこの限りでない（同項ただし書）。本肢の記述は正当である。

選択肢2（正しい）　区分所有法第61条第7項は、大規模滅失の場合の復旧決議に係る議事録について、各区分所有者の賛否の記載または記録を義務付けている。本肢の記述は正当である。

選択肢3（正しい）　区分所有法第62条第2項は、建替え決議の決議事項として建物の取壊し及び再建建物の建築に要する費用の概算額（第5号）とその費用の分担に関する事項（第6号）を定めることを義務付けている。本肢の記述は正当である。

選択肢4（誤り）　区分所有法第62条第4項は、建替え決議を会議の目的とする集会を招集するときは、少なくとも1月前に招集通知を発するとともに、少なくとも1月前に説明会を開催しなければならないと規定する。区分所有者からの要請がなくても説明会の開催は義務であり、本肢の記述は誤っている。

これらを踏まえると、不正確な記述は選択肢4であり、正解は選択肢4となる。",,,,,
2019,令和元年度,10,single,区分所有法,正解選択;区分所有法,A棟、B棟（いずれも分譲マンションで区分所有建物）及びC棟（賃貸マ ンションで単独所有建物）の三棟が所在する土地がこれらの建物の所有者の共有に 属しており、その共有者全員で団地管理組合を構成している。この場合におけるA 棟の建替え承認決議に関する次の記述のうち、区分所有法の定めによれば、誤って いるものはどれか。なお、既にA棟の区分所有者の集会において、A棟の建替えが 議決されているものとする。,,,,,,団地管理組合の集会において、A棟の建替え承認決議を得るためには、議決権の4分の3以上の多数の賛成が必要であり、各団地建物所有者の議決権は、その有する建物又は専有部分の床面積の割合による。,A棟の区分所有者は、A棟の区分所有者の集会において建替え決議に賛成しなかった場合でも、団地管理組合の集会におけるA棟の建替え承認決議では、全員が賛成したものとみなされる。,建替え承認決議に係るA棟の建替えがB棟の建替えに特別の影響を及ぼすべきときは、A棟の建替えは、団地管理組合の建替え承認決議に係る集会において、B棟の区分所有者全員の議決権の4分の3以上の議決権を有する区分所有者の賛成を得なければ行うことができない。,建替え承認決議に係るA棟の建替えがC棟の建替えに特別の影響を及ぼすべきときは、A棟の建替えは、C棟の所有者の賛成を得なければ行うことができない。―6―,1,FALSE,FALSE,,"正解は1。

選択肢1（誤り）　団地管理組合の集会における建替え承認決議の議決権は、団地内建物の所在する土地の持分の割合による（同法第69条第1項）。「建物または専有部分の床面積の割合」ではなく敷地の持分割合によるため、本肢の記述は誤っている。

選択肢2（正しい）　区分所有法第69条第7項は、棟の建替え決議において建替えに参加しなかった区分所有者も、団地管理組合の集会における建替え承認決議においては賛成したものとみなすと規定する。本肢の記述は正当である。

選択肢3（正しい）　区分所有法第69条第6項は、建替えが他の棟（B棟）の建替えに特別の影響を及ぼすべきときは、B棟の区分所有者全員の議決権の4分の3以上の議決権を有する者の賛成が必要と規定する。本肢の記述は正当である。

選択肢4（正しい）　区分所有法第69条第6項は、C棟のような単独所有建物の所有者の承諾を要すると規定する。本肢の記述は正当である。

これらを踏まえると、不正確な記述は選択肢1であり、正解は選択肢1となる。",,,,,
