slug,title,category,tags,summary,col_labels,compare_rows,article_title,article_lead,exam_points,common_mistakes,memory_tip,related_terms,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer
senyu-kyoyou,専有部分と共用部分の違い,法令・制度,区分所有法;整理,各住戸の内側と全員で共有する部分の境界を、帰属・管理・費用負担の観点で整理します。,専有部分;共用部分,"[{""axis"": ""定義"", ""cols"": [""独立した住戸・店舗として使える建物部分（区分所有権の対象）"", ""専有部分以外で区分所有者全員が共有する建物部分・付属物""]}, {""axis"": ""典型例"", ""cols"": [""室内の床・壁・天井、住戸内装（玄関内側の塗装・鍵など）"", ""エントランス・廊下・階段・外壁・玄関ドア本体・窓サッシ""]}, {""axis"": ""管理・修繕"", ""cols"": [""原則として当該区分所有者が単独で修繕（規約・細則で制限あり）"", ""管理組合が保存・管理・変更の区分に応じて修繕（集会決議が必要な場合あり）""]}, {""axis"": ""試験の見方"", ""cols"": [""「窓ガラス全体が専有部分」など境界の曖昧な部位を狙う"", ""法定・規約・一部共用の3分類とセットで問われる""]}]",専有部分と共用部分の違い｜マンション管理士試験向け比較,マンション試験の土台は、住戸の内側（専有部分）と全員共有の部分（共用部分）の線引きです。玄関ドアや窓サッシのような境界部位こそ、四択で繰り返し問われます。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://www.mankan.org）の公式情報で必ず確認してください。,境界部位（玄関ドア・窓サッシ・バルコニー）の帰属;共用部分の保存・管理・変更の区分,住戸内に見える部分をすべて専有部分だと決めつけると、共用部分の論点で誤答しやすくなります。,内側だけ専有・外側と通路は共用、と住戸境界をイメージして覚える。,専有部分;共用部分;法定共用部分,「専有部分と共用部分の違い」の試験での位置づけは？,マンション試験の土台は、住戸の内側（専有部分）と全員共有の部分（共用部分）の線引きです。玄関ドアや窓サッシのような境界部位こそ、四択で繰り返し問われます。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンショ… 試験では境界部位（玄関ドア・窓サッシ・バルコニー）の帰属を軸に、関連条文・数値・主体の取り違えを照合してください。,「専有部分と共用部分の違い」でよくある誤答パターンは？,住戸内に見える部分をすべて専有部分だと決めつけると、共用部分の論点で誤答しやすくなります。 誤答肢では共用部分の保存・管理・変更の区分の主語や条件が入れ替わることが多いので、比較表で整理してください。,「専有部分と共用部分の違い」の覚え方・確認手順は？,覚え方：内側だけ専有・外側と通路は共用、と住戸境界をイメージして覚える。 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「専有部分と共用部分の違い」の公式情報はどこで確認しますか？,「専有部分と共用部分の違い」では境界部位（玄関ドア・窓サッシ・バルコニー）の帰属を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は住戸内に見える部分をすべて専有部分だと決めつけると、共用部分の論点で誤答しやすくなります。。 過去問では条件文の主語入れ替え肢に注意してください。
hotei-kiyaku-kyoyou,法定共用部分と規約共用部分の違い,法令・制度,区分所有法;整理,規約がなくても共用となる部分と、規約で共用に位置づけた部分の違いを整理します。,法定共用部分;規約共用部分,"[{""axis"": ""定義"", ""cols"": [""性質上当然に区分所有者全員の共用となる建物部分"", ""専有部分にできる部分を規約で共用部分と定めたもの""]}, {""axis"": ""典型例"", ""cols"": [""廊下・階段・エレベーター・外壁・屋上・基礎"", ""集会室・管理人室・倉庫・キッズルーム""]}, {""axis"": ""登記"", ""cols"": [""共用部分である旨の登記は不要"", ""共用部分である旨の登記が第三者対抗要件""]}, {""axis"": ""試験の見方"", ""cols"": [""「集会室は法定共用」など種類の取り違え"", ""「規約に書けば登記なしで対抗可」など登記論点""]}]",法定共用部分と規約共用部分の違い｜比較表,共用部分は「法定」と「規約」の2層で理解します。登記要否の差が過去問でも頻出なので、典型例とセットで押さえてください。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://www.mankan.org）の公式情報で必ず確認してください。,法定共用は登記不要;規約共用は登記が対抗要件;集会室は規約共用が典型,規約で共用と定めただけで第三者に主張できると考えると、登記問題で即不正解になります。,使い分け不能＝法定、集会室型＝規約＋登記、と対で覚える。,法定共用部分;規約共用部分;共用部分,「法定共用部分と規約共用部分の違い」の試験での位置づけは？,共用部分は「法定」と「規約」の2層で理解します。登記要否の差が過去問でも頻出なので、典型例とセットで押さえてください。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://ww… 試験では法定共用は登記不要を軸に、関連条文・数値・主体の取り違えを照合してください。,「法定共用部分と規約共用部分の違い」でよくある誤答パターンは？,規約で共用と定めただけで第三者に主張できると考えると、登記問題で即不正解になります。 誤答肢では規約共用は登記が対抗要件の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「法定共用部分と規約共用部分の違い」の覚え方・確認手順は？,覚え方：使い分け不能＝法定、集会室型＝規約＋登記、と対で覚える。 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「法定共用部分と規約共用部分の違い」の公式情報はどこで確認しますか？,「法定共用部分と規約共用部分の違い」では法定共用は登記不要を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は規約で共用と定めただけで第三者に主張できると考えると、登記問題で即不正解になります。。 過去問では条件文の主語入れ替え肢に注意してください。
futsu-tokubetsu-ketsugi,普通決議と特別多数決議の違い,法令・制度,区分所有法;整理,集会の基本決議と、規約変更・重大変更・建替えなどで要求される加重要件を比較します。,普通決議;特別多数決議,"[{""axis"": ""成立要件"", ""cols"": [""区分所有者及び議決権の各過半数（規約で緩和可）"", ""議題ごとに4分の3以上または5分の4以上""]}, {""axis"": ""主な対象"", ""cols"": [""共用部分の通常管理・軽微変更・役員選任・予算承認"", ""規約変更・共用部分の重大変更・建替え決議・訴え提起等""]}, {""axis"": ""招集通知"", ""cols"": [""会日の1週間前（規約で変更可）"", ""重要議題は議案の要領添付、建替えは2か月前""]}, {""axis"": ""試験の見方"", ""cols"": [""「規約変更は過半数」など要件の取り違え"", ""「建替えは4分の3」など5分の4との混同""]}]",普通決議と特別多数決議の違い｜決議要件比較,集会の決議は、議題によって過半数・4分の3・5分の4が切り替わります。数字と対象議題を表で対応づけると、過去問の選択肢処理が速くなります。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://www.mankan.org）の公式情報で必ず確認してください。,普通決議＝各過半数;規約変更・重大変更＝各4分の3;建替え決議＝各5分の4,建替え決議の要件を4分の3と覚えると、毎年出る数字問題で失点しやすくなります。,規約・重大変更・訴討は3/4、建替えだけ4/5、通常は過半数。,普通決議;特別多数決議;集会,「普通決議と特別多数決議の違い」の試験での位置づけは？,集会の決議は、議題によって過半数・4分の3・5分の4が切り替わります。数字と対象議題を表で対応づけると、過去問の選択肢処理が速くなります。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（… 試験では普通決議＝各過半数を軸に、関連条文・数値・主体の取り違えを照合してください。,「普通決議と特別多数決議の違い」でよくある誤答パターンは？,建替え決議の要件を4分の3と覚えると、毎年出る数字問題で失点しやすくなります。 誤答肢では規約変更・重大変更＝各4分の3の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「普通決議と特別多数決議の違い」の覚え方・確認手順は？,覚え方：規約・重大変更・訴討は3/4、建替えだけ4/5、通常は過半数。 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「普通決議と特別多数決議の違い」の公式情報はどこで確認しますか？,「普通決議と特別多数決議の違い」では普通決議＝各過半数を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は建替え決議の要件を4分の3と覚えると、毎年出る数字問題で失点しやすくなります。。 過去問では条件文の主語入れ替え肢に注意してください。
shikichi-riyouken,敷地と敷地利用権の違い,法令・制度,区分所有法;整理,マンションが建つ土地そのものと、区分所有者が有する土地側の権利の関係を整理します。,敷地;敷地利用権,"[{""axis"": ""定義"", ""cols"": [""区分所有建物が建つ土地（法定敷地）と規約で含めた土地（規約敷地）"", ""専有部分を所有するために敷地について有する権利""]}, {""axis"": ""内容"", ""cols"": [""物理的な土地の所在・範囲（法定＋規約の2層）"", ""所有権・地上権・賃借権などを共有または準共有で持つ権利""]}, {""axis"": ""処分"", ""cols"": [""規約変更等で敷地の範囲を拡張・縮小"", ""原則として専有部分と分離処分できない（規約で例外可）""]}, {""axis"": ""試験の見方"", ""cols"": [""「建物の真下だけが敷地」と決めつける誤り"", ""敷地＝土地の所有権のみ、と狭く理解する誤り""]}]",敷地と敷地利用権の違い｜土地と権利の整理,敷地は土地の範囲、敷地利用権は区分所有者が持つ土地側の権利です。住戸と土地を一体で動かす分離処分の禁止とセットで理解してください。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://www.mankan.org）の公式情報で必ず確認してください。,法定敷地と規約敷地;敷地利用権は所有権・地上権・賃借権を含む;分離処分は原則禁止,敷地と敷地利用権を同じ概念だと思うと、権利関係の選択肢で混乱しやすくなります。,敷地＝土地の範囲、敷地利用権＝その土地を使う権利、と役割分担で覚える。,敷地;敷地利用権;分離処分の禁止,「敷地と敷地利用権の違い」の試験での位置づけは？,敷地は土地の範囲、敷地利用権は区分所有者が持つ土地側の権利です。住戸と土地を一体で動かす分離処分の禁止とセットで理解してください。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（http… 試験では法定敷地と規約敷地を軸に、関連条文・数値・主体の取り違えを照合してください。,「敷地と敷地利用権の違い」でよくある誤答パターンは？,敷地と敷地利用権を同じ概念だと思うと、権利関係の選択肢で混乱しやすくなります。 誤答肢では敷地利用権は所有権・地上権・賃借権を含むの主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「敷地と敷地利用権の違い」の覚え方・確認手順は？,覚え方：敷地＝土地の範囲、敷地利用権＝その土地を使う権利、と役割分担で覚える。 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「敷地と敷地利用権の違い」の公式情報はどこで確認しますか？,「敷地と敷地利用権の違い」では法定敷地と規約敷地を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は敷地と敷地利用権を同じ概念だと思うと、権利関係の選択肢で混乱しやすくなります。。 過去問では条件文の主語入れ替え肢に注意してください。
kubun-shoyuken-tatemono,区分所有権と区分建物の違い,法令・制度,区分所有法;整理,権利面の住戸所有と、登記法上の住戸単位の建物表示の違いを整理します。,区分所有権;区分建物,"[{""axis"": ""定義"", ""cols"": [""専有部分を目的とする所有権（共用持分・敷地利用権を伴う）"", ""登記法上、構造上区分された住居等として独立登記される建物部分""]}, {""axis"": ""視点"", ""cols"": [""区分所有法上の権利関係（誰が何を所有するか）"", ""不動産登記法上の表示・登記の単位（表題部の住戸）""]}, {""axis"": ""登記"", ""cols"": [""権利部に所有権を登記、敷地権付きで一体移転"", ""一棟の表題部＋各区分建物の表題部の2層構造""]}, {""axis"": ""試験の見方"", ""cols"": [""両者を完全同一とみなして登記論点を落とす"", ""区分建物だけ売却可能と誤解する（敷地利用権一体）""]}]",区分所有権と区分建物の違い｜権利と登記の整理,区分所有権は権利、区分建物は登記上の住戸単位です。実務では同じ住戸を指すことが多いものの、試験では用語の整理として問われます。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://www.mankan.org）の公式情報で必ず確認してください。,区分所有権＝権利（専有＋共有持分＋敷地利用権）;区分建物＝登記の住戸単位,同じ住戸を指すから同一概念と決めつけると、登記・権利の論点で取りこぼしが出ます。,権利＝区分所有権、登記の住戸＝区分建物、と視点で分ける。,区分所有権;区分建物;専有部分,「区分所有権と区分建物の違い」の試験での位置づけは？,区分所有権は権利、区分建物は登記上の住戸単位です。実務では同じ住戸を指すことが多いものの、試験では用語の整理として問われます。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https:… 試験では区分所有権＝権利（専有＋共有持分＋敷地利用権）を軸に、関連条文・数値・主体の取り違えを照合してください。,「区分所有権と区分建物の違い」でよくある誤答パターンは？,同じ住戸を指すから同一概念と決めつけると、登記・権利の論点で取りこぼしが出ます。 誤答肢では区分建物＝登記の住戸単位の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「区分所有権と区分建物の違い」の覚え方・確認手順は？,覚え方：権利＝区分所有権、登記の住戸＝区分建物、と視点で分ける。 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「区分所有権と区分建物の違い」の公式情報はどこで確認しますか？,「区分所有権と区分建物の違い」では区分所有権＝権利（専有＋共有持分＋敷地利用権）を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は同じ住戸を指すから同一概念と決めつけると、登記・権利の論点で取りこぼしが出ます。。 過去問では条件文の主語入れ替え肢に注意してください。
shukai-kanri-kumiai,集会と管理組合の違い,法令・制度,区分所有法;整理,意思決定の場（集会）と、区分所有者全員で構成される管理団体（管理組合）の役割を整理します。,集会;管理組合,"[{""axis"": ""性質"", ""cols"": [""区分所有者が集まり決議する会議（総会・臨時総会）"", ""区分所有関係の成立で当然に成立する管理団体""]}, {""axis"": ""機能"", ""cols"": [""規約・予算・役員・重大変更などを決議する場"", ""建物・敷地・付属施設の管理を行う主体""]}, {""axis"": ""構成"", ""cols"": [""開催のたびに区分所有者（議決権者）が出席・投票"", ""区分所有者全員が当然に構成員（加入・脱退の自由なし）""]}, {""axis"": ""試験の見方"", ""cols"": [""集会＝管理組合と同一視する誤り"", ""管理組合への加入が任意だとする誤り""]}]",集会と管理組合の違い｜意思決定と団体の整理,管理組合は常に存在する団体、集会はその意思決定の場です。年1回の開催義務や招集手続は集会の論点として独立して問われます。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://www.mankan.org）の公式情報で必ず確認してください。,管理組合は区分所有関係成立で当然成立;集会は年1回以上の招集義務;決議は集会で行う,管理組合と総会を同じものだと思うと、招集・議事録の主体を取り違えやすくなります。,組合＝常設の団体、集会＝年1回以上開く決議の場。,集会;管理組合;規約,「集会と管理組合の違い」の試験での位置づけは？,管理組合は常に存在する団体、集会はその意思決定の場です。年1回の開催義務や招集手続は集会の論点として独立して問われます。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://w… 試験では管理組合は区分所有関係成立で当然成立を軸に、関連条文・数値・主体の取り違えを照合してください。,「集会と管理組合の違い」でよくある誤答パターンは？,管理組合と総会を同じものだと思うと、招集・議事録の主体を取り違えやすくなります。 誤答肢では集会は年1回以上の招集義務の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「集会と管理組合の違い」の覚え方・確認手順は？,「集会と管理組合の違い」では管理組合は区分所有関係成立で当然成立を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は管理組合と総会を同じものだと思うと、招集・議事録の主体を取り違えやすくなります。。 過去問では条件文の主語入れ替え肢に注意してください。,「集会と管理組合の違い」の公式情報はどこで確認しますか？,「集会と管理組合の違い」では管理組合は区分所有関係成立で当然成立を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は管理組合と総会を同じものだと思うと、招集・議事録の主体を取り違えやすくなります。。 過去問では条件文の主語入れ替え肢に注意してください。
shuchou-gijiroku,招集通知と議事録の違い,法令・制度,区分所有法;整理,集会前の通知と、集会後の公式記録の目的・時期・記載事項を比較します。,招集通知;議事録,"[{""axis"": ""タイミング"", ""cols"": [""集会の前（原則会日の1週間前、建替えは2か月前）"", ""集会の後（議事の経過と結果を記録）""]}, {""axis"": ""目的"", ""cols"": [""会日・場所・議題を知らせ、議決権行使の準備を促す"", ""何をどう決めたかを公式に残し、後日の証拠とする""]}, {""axis"": ""記載・手続"", ""cols"": [""議案の要領添付（規約変更・重大変更・建替え等）"", ""議長＋区分所有者2人の署名、管理者等が保管""]}, {""axis"": ""試験の見方"", ""cols"": [""通知なし事項の決議可否（原則不可）"", ""議事録署名者（議長のみで足りる、等の誤肢）""]}]",招集通知と議事録の違い｜集会前後の書面整理,招集通知は決める前の告知、議事録は決めた後の記録です。1週間前・2か月前の数字と、署名3人のルールをセットで覚えてください。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://www.mankan.org）の公式情報で必ず確認してください。,招集通知は原則1週間前;建替えは2か月前＋要領;議事録は議長＋区分所有者2人が署名,招集通知と議事録の役割を逆に覚えると、手続問題全体が崩れやすくなります。,前に通知・後に議事録、署名は3人、と時系列で整理。,招集通知;議事録;集会の招集,「招集通知と議事録の違い」の試験での位置づけは？,招集通知は決める前の告知、議事録は決めた後の記録です。1週間前・2か月前の数字と、署名3人のルールをセットで覚えてください。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https:/… 試験では招集通知は原則1週間前を軸に、関連条文・数値・主体の取り違えを照合してください。,「招集通知と議事録の違い」でよくある誤答パターンは？,招集通知と議事録の役割を逆に覚えると、手続問題全体が崩れやすくなります。 誤答肢では建替えは2か月前＋要領の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「招集通知と議事録の違い」の覚え方・確認手順は？,「招集通知と議事録の違い」では招集通知は原則1週間前を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は招集通知と議事録の役割を逆に覚えると、手続問題全体が崩れやすくなります。。 過去問では条件文の主語入れ替え肢に注意してください。,「招集通知と議事録の違い」の公式情報はどこで確認しますか？,「招集通知と議事録の違い」では招集通知は原則1週間前を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は招集通知と議事録の役割を逆に覚えると、手続問題全体が崩れやすくなります。。 過去問では条件文の主語入れ替え肢に注意してください。
kubun-shoyusha-ken,区分所有者と区分所有権の違い｜地位の整理,法令・制度,区分所有法;整理,住戸を所有する人（区分所有者）と、その人が有する権利（区分所有権）の関係を整理します。,区分所有者;区分所有権,"[{""axis"": ""定義"", ""cols"": [""専有部分の区分所有権を有する者（管理組合の構成員）"", ""専有部分を目的とする所有権（共用持分・敷地利用権を一体）""]}, {""axis"": ""地位の得喪"", ""cols"": [""売買・相続で名義が移れば自動的に取得・喪失"", ""権利自体が移転・設定・消滅する対象""]}, {""axis"": ""権能"", ""cols"": [""集会で議決権を行使、規約・決議に従う義務"", ""専有部分の使用・収益・処分（分離処分は原則禁止）""]}, {""axis"": ""試験の見方"", ""cols"": [""賃借人＝区分所有者、など占有者との混同"", ""区分所有権＝専有部分のみ、と狭く理解する誤り""]}]",区分所有者と区分所有権の違い｜人と権利の整理,区分所有者は「人」、区分所有権はその人が持つ「権利」です。占有者（賃借人等）との違いとセットで、試験の基本論点を固めてください。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://www.mankan.org）の公式情報で必ず確認してください。,区分所有者は所有権者に限る;区分所有権は専有＋共有持分＋敷地利用権;管理組合員資格は自動,区分所有者という語を権利名だと思い込むと、議決権・義務の主体を取り違えます。,所有者＝人、所有権＝権利、買えば両方セットで動く。,区分所有者;区分所有権;管理組合,「区分所有者と区分所有権の違い｜地位の整理」の試験での位置づけは？,区分所有者は「人」、区分所有権はその人が持つ「権利」です。占有者（賃借人等）との違いとセットで、試験の基本論点を固めてください。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https… 試験では区分所有者は所有権者に限るを軸に、関連条文・数値・主体の取り違えを照合してください。,「区分所有者と区分所有権の違い｜地位の整理」でよくある誤答パターンは？,区分所有者という語を権利名だと思い込むと、議決権・義務の主体を取り違えます。 誤答肢では区分所有権は専有＋共有持分＋敷地利用権の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「区分所有者と区分所有権の違い｜地位の整理」の覚え方・確認手順は？,「区分所有者と区分所有権の違い｜地位の整理」では区分所有者は所有権者に限るを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は区分所有者という語を権利名だと思い込むと、議決権・義務の主体を取り違えます。。 過去問では条件文の主語入れ替え肢に注意してください。,「区分所有者と区分所有権の違い｜地位の整理」の公式情報はどこで確認しますか？,「区分所有者と区分所有権の違い｜地位の整理」では区分所有者は所有権者に限るを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は区分所有者という語を権利名だと思い込むと、議決権・義務の主体を取り違えます。。 過去問では条件文の主語入れ替え肢に注意してください。
ichibu-hotei-kyoyou,一部共用部分と法定共用部分の違い,法令・制度,区分所有法;整理,特定の区分所有者だけが使う共用部分と、全員が当然に共用する部分の違いを整理します。,一部共用部分;法定共用部分,"[{""axis"": ""利用者"", ""cols"": [""一棟の一部の区分所有者だけ（店舗専用入口など）"", ""区分所有者全員（またはその一部ではなく全員が当然に共用）""]}, {""axis"": ""管理"", ""cols"": [""原則利用者だけで管理（全員の利害なら全員集会も可）"", ""管理組合が全体として管理""]}, {""axis"": ""典型例"", ""cols"": [""複合用途型の店舗専用エントランス・住宅専用廊下"", ""全住戸共通の階段・エレベーター・外壁""]}, {""axis"": ""試験の見方"", ""cols"": [""一部共用を必ず利用者だけで決める、と決めつける"", ""集会室を一部共用と誤認する（規約共用が典型）""]}]",一部共用部分と法定共用部分の違い｜共用の3分類,法定共用は全員の共有、一部共用は特定所有者グループの共有です。複合用途型マンションでは一部共用が頻出テーマになります。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://www.mankan.org）の公式情報で必ず確認してください。,一部共用は原則利用者管理;全員の利害なら全員集会可;法定共用は性質上当然共用,一部共用部分の決議を常に利用者だけで行えると覚えると、例外条文を見落とします。,全員通路＝法定、棟別・用途別入口＝一部共用。,一部共用部分;法定共用部分;共用部分,「一部共用部分と法定共用部分の違い」の試験での位置づけは？,法定共用は全員の共有、一部共用は特定所有者グループの共有です。複合用途型マンションでは一部共用が頻出テーマになります。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://ww… 試験では一部共用は原則利用者管理を軸に、関連条文・数値・主体の取り違えを照合してください。,「一部共用部分と法定共用部分の違い」でよくある誤答パターンは？,一部共用部分の決議を常に利用者だけで行えると覚えると、例外条文を見落とします。 誤答肢では全員の利害なら全員集会可の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「一部共用部分と法定共用部分の違い」の覚え方・確認手順は？,「一部共用部分と法定共用部分の違い」では一部共用は原則利用者管理を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は一部共用部分の決議を常に利用者だけで行えると覚えると、例外条文を見落とします。。 過去問では条件文の主語入れ替え肢に注意してください。,「一部共用部分と法定共用部分の違い」の公式情報はどこで確認しますか？,「一部共用部分と法定共用部分の違い」では一部共用は原則利用者管理を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は一部共用部分の決議を常に利用者だけで行えると覚えると、例外条文を見落とします。。 過去問では条件文の主語入れ替え肢に注意してください。
kiyaku-giketsuken,規約と議決権の関係,法令・制度,区分所有法;整理,管理の基本ルールを定める規約と、集会で意思表示する議決権の関係・変更手続を整理します。,規約;議決権,"[{""axis"": ""役割"", ""cols"": [""専有・共用・敷地の管理・使用ルールを定める基本文書"", ""集会で議案に賛否を示す投票権（割合で配分）""]}, {""axis"": ""変更"", ""cols"": [""設定・変更・廃止は各4分の3以上の特別多数決議"", ""割合の配分は規約で別段の定めが可能（1住戸1票など）""]}, {""axis"": ""効力"", ""cols"": [""区分所有者の特定承継人（買主）にも及ぶ"", ""区分所有者が集会で行使（賃借人は原則不可）""]}, {""axis"": ""試験の見方"", ""cols"": [""規約変更を普通決議で足りる、とする誤肢"", ""議決権が常に1住戸1票、と決めつける""]}]",規約と議決権の関係｜ルールと投票権の整理,規約はマンションの基本ルール、議決権はそのルールを変えるための投票力です。規約変更の4分の3要件と、議決権配分の規約別段定めを対で覚えてください。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理センター（https://www.mankan.org）の公式情報で必ず確認してください。,規約変更は各4分の3;議決権は原則床面積比;規約で1住戸1票等に変更可,規約と議決権を別世界の話だと思うと、規約変更手続の問題で混乱しやすくなります。,規約を変える＝4/3、票の数え方＝規約で調整可。,規約;議決権;特別多数決議,「規約と議決権の関係」の試験での位置づけは？,規約はマンションの基本ルール、議決権はそのルールを変えるための投票力です。規約変更の4分の3要件と、議決権配分の規約別段定めを対で覚えてください。 本ページは学習用の整理です。試験制度・数値・法令の正確な内容は公益財団法人マンション管理セ… 試験では規約変更は各4分の3を軸に、関連条文・数値・主体の取り違えを照合してください。,「規約と議決権の関係」でよくある誤答パターンは？,規約と議決権を別世界の話だと思うと、規約変更手続の問題で混乱しやすくなります。 誤答肢では議決権は原則床面積比の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「規約と議決権の関係」の覚え方・確認手順は？,「規約と議決権の関係」では規約変更は各4分の3を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は規約と議決権を別世界の話だと思うと、規約変更手続の問題で混乱しやすくなります。。 過去問では条件文の主語入れ替え肢に注意してください。,「規約と議決権の関係」の公式情報はどこで確認しますか？,「規約と議決権の関係」では規約変更は各4分の3を軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は規約と議決権を別世界の話だと思うと、規約変更手続の問題で混乱しやすくなります。。 過去問では条件文の主語入れ替え肢に注意してください。
